Plot_code;Region;Latitude;Longitude;AGB;WP; WL;?;Contributors
SUC-05;W;-3,3;-72,9;134,98;3,45;1,78;1,73;"Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo"
TAM-01;W;-12,8;-69,3;114,18;2,6;1,48;1,61;"Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo"
TAM-02;W;-12,8;-69,3;123,42;2,61;2,03;1,83;"Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo"
TAM-03;W;-12,8;-69,3;144,54;2,55;0,7;0,86;"Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo"
TAM-04;W;-12,8;-69,3;134,34;3,94;2,48;2,18;"Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo"
TAM-05;W;-12,8;-69,3;118,71;3,36;1,92;2,34;"Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo"
TAM-06;W;-12,8;-69,3;126,47;3,17;1,38;1,46;"Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo"
TAM-07;W;-12,8;-69,3;128,15;3,03;4,23;2,69;"Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo"
TAM-08;W;-12,8;-69,3;108,49;2,96;2,26;2,22;"Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo"
TEC-01;EC;-1,7;-51,5;194,01;2,45;3,58;1,48;Leandro Ferreira, Darley Leal
TEC-02;EC;-1,7;-51,5;230,64;2,69;1,25;0,45;Leandro Ferreira, Darley Leal
TEC-03;EC;-1,7;-51,5;250,72;1,83;1,5;0,9;Leandro Ferreira, Darley Leal
TEC-04;EC;-1,7;-51,5;202,24;2,51;2,85;1,22;Leandro Ferreira, Darley Leal
TEC-05;EC;-1,8;-51,6;232,97;2,49;0,61;0,78;Leandro Ferreira, Darley Leal
TEC-06;EC;-1,7;-51,4;165,97;2,21;2,79;1,57;Leandro Ferreira, Darley Leal
TEM-01;EC;-3;-59,9;182,5;2,42;3,11;1,35;I親da Amaral, Atila Alves
TEM-02;EC;-3;-59,9;165,75;2,01;0,74;0,5;I親da Amaral, Atila Alves
TEM-03;EC;-2,4;-59,9;136,72;1,79;0,42;0,58;I親da Amaral, Atila Alves
TEM-04;EC;-2,4;-59,8;121,81;2,36;0,82;1,03;I親da Amaral, Atila Alves
TEM-05;EC;-2,6;-60,2;132,14;2,66;3,57;2,07;I親da Amaral, Atila Alves
TEM-06;EC;-2,6;-60,1;125,8;1,88;1,84;1,34;I親da Amaral, Atila Alves
TIP-02;W;-0,6;-76,1;94,25;2,65;1,79;1,7;Roel Brienen
TIP-03;W;-0,6;-76,1;124,12;3,78;2,02;2,55;Roel Brienen
YAN-01;W;-3,4;-72,8;132,79;3,68;3,32;2,45;"Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo"
YAN-02;W;-3,4;-72,8;138,46;3,69;1,87;1,3;"Oliver Phillips; Tim Baker; Roel Brienen; Rodolfo Vasquez; Abel Monteagudo"
