"site","dti","iter"
"Jenaro Herrera",0.0290192679067834,232
"Jenaro Herrera",0.0245189626091283,233
"Jenaro Herrera",0.0176965843871216,234
"Jenaro Herrera",0.0314718213826121,235
"Jenaro Herrera",0.0182316919256772,236
"Jenaro Herrera",0.014059528824008,237
"Jenaro Herrera",0.00653878527019502,238
"Jenaro Herrera",0.0299964481335626,239
"Jenaro Herrera",0.0152777382028876,240
"Jenaro Herrera",0.0180219093676494,241
"Jenaro Herrera",0.00120649610983337,242
"Jenaro Herrera",0.00309107514331808,243
"Jenaro Herrera",0.00255326804853429,244
"Jenaro Herrera",0.00890689794992472,245
"Jenaro Herrera",0.0102527693983059,246
"Jenaro Herrera",0.00684764587750664,247
"Jenaro Herrera",0.00132113804101464,248
"Jenaro Herrera",0.0102247432725188,249
"Jenaro Herrera",0.00150729568487384,250
"Jenaro Herrera",0.00460602836879764,251
"Jenaro Herrera",0.00501796771472873,252
"Jenaro Herrera",0.0168542154749104,253
"Jenaro Herrera",0.0298645802144142,254
"Jenaro Herrera",0.00215312342278806,255
"Jenaro Herrera",0.00141912117721987,256
"Jenaro Herrera",0.00777945185746509,257
"Jenaro Herrera",0.0285859576432782,258
"Jenaro Herrera",0.0125072400277424,259
"Jenaro Herrera",0.0136458629087787,260
"Jenaro Herrera",0.018442435472716,261
"Jenaro Herrera",0.0104589571641304,262
"Jenaro Herrera",0.000819633111884599,263
"Jenaro Herrera",0.0256543083310842,264
"Jenaro Herrera",0.0134342682538304,265
"Jenaro Herrera",0.0218080370445058,266
"Jenaro Herrera",0.0492058616489816,267
"Jenaro Herrera",0.00161405133918902,268
"Jenaro Herrera",0.043748750785959,269
"Jenaro Herrera",0.012749855022686,270
"Jenaro Herrera",0.00772454627899655,271
"Jenaro Herrera",0.00915663499443886,272
"Jenaro Herrera",0.006025751312279,273
"Jenaro Herrera",0.0153857685823633,274
"Jenaro Herrera",0.00793226590214335,275
"Jenaro Herrera",0.0245508411702995,276
"Jenaro Herrera",0.00514304334780658,277
"Jenaro Herrera",0.00469536844349949,278
